"recruit_year","cover_year","juv_year","site_name","tile_area","total_tiles","taxa","abundance","density"
2016,2015,2017,"Admiral",1.61811258385434,32,"AGAR",0,0
2016,2015,2017,"Admiral",1.61811258385434,32,"FAVI",0,0
2016,2015,2017,"Admiral",1.61811258385434,32,"PORI",7,4.32602778684659
2016,2015,2017,"Admiral",1.61811258385434,32,"SIDE",1,0.618003969549513
2016,2015,2017,"Admiral",1.61811258385434,32,"Other",0,0
2016,2015,2017,"Admiral",1.61811258385434,32,"UNKS",0,0
2016,2015,2017,"Admiral",1.61811258385434,32,"TotalSto",8,4.9440317563961
2016,2015,2017,"Admiral",1.61811258385434,32,"TotalOct",1,0.618003969549513
2016,2015,2017,"Admiral",1.61811258385434,32,"TotalCor",17,10.5060674823417
2016,2015,2017,"BC1",1.61811258385434,32,"AGAR",1,0.618003969549513
2016,2015,2017,"BC1",1.61811258385434,32,"FAVI",2,1.23600793909903
2016,2015,2017,"BC1",1.61811258385434,32,"PORI",2,1.23600793909903
2016,2015,2017,"BC1",1.61811258385434,32,"SIDE",7,4.32602778684659
2016,2015,2017,"BC1",1.61811258385434,32,"Other",0,0
2016,2015,2017,"BC1",1.61811258385434,32,"UNKS",7,4.32602778684659
2016,2015,2017,"BC1",1.61811258385434,32,"TotalSto",19,11.7420754214407
2016,2015,2017,"BC1",1.61811258385434,32,"TotalOct",3,1.85401190864854
2016,2015,2017,"BC1",1.61811258385434,32,"TotalCor",22,13.5960873300893
2016,2015,2017,"BC2",1.61811258385434,32,"AGAR",0,0
2016,2015,2017,"BC2",1.61811258385434,32,"FAVI",2,1.23600793909903
2016,2015,2017,"BC2",1.61811258385434,32,"PORI",6,3.70802381729708
2016,2015,2017,"BC2",1.61811258385434,32,"SIDE",9,5.56203572594561
2016,2015,2017,"BC2",1.61811258385434,32,"Other",0,0
2016,2015,2017,"BC2",1.61811258385434,32,"UNKS",4,2.47201587819805
2016,2015,2017,"BC2",1.61811258385434,32,"TotalSto",21,12.9780833605398
2016,2015,2017,"BC2",1.61811258385434,32,"TotalOct",5,3.09001984774756
2016,2015,2017,"BC2",1.61811258385434,32,"TotalCor",26,16.0681032082873
2016,2015,2017,"BC3",1.56754656560889,31,"AGAR",0,0
2016,2015,2017,"BC3",1.56754656560889,31,"FAVI",0,0
2016,2015,2017,"BC3",1.56754656560889,31,"PORI",4,2.55175832588186
2016,2015,2017,"BC3",1.56754656560889,31,"SIDE",3,1.91381874441139
2016,2015,2017,"BC3",1.56754656560889,31,"Other",1,0.637939581470465
2016,2015,2017,"BC3",1.56754656560889,31,"UNKS",4,2.55175832588186
2016,2015,2017,"BC3",1.56754656560889,31,"TotalSto",12,7.65527497764557
2016,2015,2017,"BC3",1.56754656560889,31,"TotalOct",8,5.10351665176372
2016,2015,2017,"BC3",1.56754656560889,31,"TotalCor",20,12.7587916294093
2016,2015,2017,"BC4",1.61811258385434,32,"AGAR",0,0
2016,2015,2017,"BC4",1.61811258385434,32,"FAVI",0,0
2016,2015,2017,"BC4",1.61811258385434,32,"PORI",17,10.5060674823417
2016,2015,2017,"BC4",1.61811258385434,32,"SIDE",0,0
2016,2015,2017,"BC4",1.61811258385434,32,"Other",0,0
2016,2015,2017,"BC4",1.61811258385434,32,"UNKS",0,0
2016,2015,2017,"BC4",1.61811258385434,32,"TotalSto",17,10.5060674823417
2016,2015,2017,"BC4",1.61811258385434,32,"TotalOct",0,0
2016,2015,2017,"BC4",1.61811258385434,32,"TotalCor",17,10.5060674823417
2016,2015,2017,"Carysfort Deep",1.61811258385434,32,"AGAR",5,3.09001984774756
